time,downloaded,total,chunk_size,speed_kbps
1768152611.6921918,25143680,30424618,8192,8000.0
1768152611.6922355,25151872,30424618,8192,8000.0
1768152611.6941705,25160064,30424618,8192,4154.765261593196
1768152611.6946058,25168256,30424618,8192,8000.0
1768152611.6963127,25176448,30424618,8192,4725.618198774823
1768152611.696366,25184640,30424618,8192,8000.0
1768152611.6964066,25192832,30424618,8192,8000.0
1768152611.6964488,25201024,30424618,8192,8000.0
1768152611.6984284,25209216,30424618,8192,4058.647473543583
1768152611.6984668,25217408,30424618,8192,8000.0
1768152611.6984973,25225600,30424618,8192,8000.0
1768152611.6987228,25233792,30424618,8192,8000.0
1768152611.7006826,25241984,30424618,8192,4102.563724009983
1768152611.7007313,25250176,30424618,8192,8000.0
1768152611.7007718,25258368,30424618,8192,8000.0
1768152611.700816,25266560,30424618,8192,8000.0
1768152611.7024946,25274752,30424618,8192,4787.265771625063
1768152611.7025316,25282944,30424618,8192,8000.0
1768152611.7025633,25291136,30424618,8192,8000.0
1768152611.7029884,25299328,30424618,8192,8000.0
1768152611.7055027,25307520,30424618,8192,3196.5476248753957
1768152611.7055464,25315712,30424618,8192,8000.0
1768152611.7055805,25323904,30424618,8192,8000.0
1768152611.7056167,25332096,30424618,8192,8000.0
1768152611.7076423,25340288,30424618,8192,3976.340635652285
1768152611.7076917,25348480,30424618,8192,8000.0
1768152611.709797,25356672,30424618,8192,3822.4473447750274
1768152611.7100816,25364864,30424618,8192,8000.0
1768152611.710275,25373056,30424618,8192,8000.0
1768152611.7103226,25381248,30424618,8192,8000.0
1768152611.71168,25389440,30424618,8192,5930.31863416611
1768152611.711722,25397632,30424618,8192,8000.0
1768152611.7117665,25405824,30424618,8192,8000.0
1768152611.711805,25414016,30424618,8192,8000.0
1768152611.7138822,25422208,30424618,8192,3866.602369246008
1768152611.7142055,25430400,30424618,8192,8000.0
1768152611.7142808,25438592,30424618,8192,8000.0
1768152611.7143242,25446784,30424618,8192,8000.0
1768152611.71568,25454976,30424618,8192,5941.328821854573
1768152611.7157283,25463168,30424618,8192,8000.0
1768152611.7169144,25471360,30424618,8192,6808.5100619487985
1768152611.7169669,25479552,30424618,8192,8000.0
1768152611.7184687,25487744,30424618,8192,5362.290290950161
1768152611.7185283,25495936,30424618,8192,8000.0
1768152611.7192621,25504128,30424618,8192,8000.0
1768152611.7193074,25512320,30424618,8192,8000.0
1768152611.7206683,25520512,30424618,8192,5917.160562410073
1768152611.7207143,25528704,30424618,8192,8000.0
1768152611.7223952,25536896,30424618,8192,4787.838792407567
1768152611.72245,25545088,30424618,8192,8000.0
1768152611.7254944,25553280,30424618,8192,2637.652450563599
1768152611.7257493,25561472,30424618,8192,8000.0
1768152611.7257934,25569664,30424618,8192,8000.0
1768152611.7258303,25577856,30424618,8192,8000.0
1768152611.727123,25586048,30424618,8192,6228.589218875307
1768152611.7271652,25594240,30424618,8192,8000.0
1768152611.7293396,25602432,30424618,8192,3692.2511424735153
1768152611.7293832,25610624,30424618,8192,8000.0
1768152611.730141,25618816,30424618,8192,8000.0
1768152611.7304265,25627008,30424618,8192,8000.0
1768152611.7327442,25635200,30424618,8192,3466.3547025908574
1768152611.7327862,25643392,30424618,8192,8000.0
1768152611.734022,25651584,30424618,8192,6516.780528106011
1768152611.7340677,25659776,30424618,8192,8000.0
1768152611.7358768,25667968,30424618,8192,4451.864351334067
1768152611.7359347,25676160,30424618,8192,8000.0
1768152611.7386599,25684352,30424618,8192,2952.9010727637833
1768152611.7392974,25692544,30424618,8192,8000.0
1768152611.7439945,25700736,30424618,8192,1710.5713350767421
1768152611.744293,25708928,30424618,8192,8000.0
1768152611.74453,25717120,30424618,8192,8000.0
1768152611.7447772,25725312,30424618,8192,8000.0
1768152611.7462027,25733504,30424618,8192,5669.335372285615
1768152611.746285,25741696,30424618,8192,8000.0
1768152611.7463262,25749888,30424618,8192,8000.0
1768152611.7463746,25758080,30424618,8192,8000.0
1768152611.746795,25766272,30424618,8192,8000.0
1768152611.7468367,25774464,30424618,8192,8000.0
1768152611.7484624,25782656,30424618,8192,4951.720125955656
1768152611.748558,25790848,30424618,8192,8000.0
1768152611.7510328,25799040,30424618,8192,3244.251547357369
1768152611.7510774,25807232,30424618,8192,8000.0
1768152611.7522442,25815424,30424618,8192,6916.228132596133
1768152611.7522986,25823616,30424618,8192,8000.0
1768152611.7528522,25831808,30424618,8192,8000.0
1768152611.752896,25840000,30424618,8192,8000.0
1768152611.7546697,25848192,30424618,8192,4535.40438968713
1768152611.7547212,25856384,30424618,8192,8000.0
1768152611.7556555,25864576,30424618,8192,8000.0
1768152611.7557054,25872768,30424618,8192,8000.0
1768152611.7670147,25880960,30424618,8192,708.0648514034432
1768152611.7672517,25889152,30424618,8192,8000.0
1768152611.7672997,25897344,30424618,8192,8000.0
1768152611.7673392,25905536,30424618,8192,8000.0
1768152611.7701309,25913728,30424618,8192,2874.8023552474538
1768152611.7701764,25921920,30424618,8192,8000.0
1768152611.7720988,25930112,30424618,8192,4182.569116141918
1768152611.772144,25938304,30424618,8192,8000.0
1768152611.772181,25946496,30424618,8192,8000.0
1768152611.7725403,25954688,30424618,8192,8000.0
1768152611.7739542,25962880,30424618,8192,5702.473087806473
1768152611.773995,25971072,30424618,8192,8000.0
1768152611.7740293,25979264,30424618,8192,8000.0
1768152611.7740638,25987456,30424618,8192,8000.0
1768152611.7772892,25995648,30424618,8192,2486.7888962148554
1768152611.7773309,26003840,30424618,8192,8000.0
1768152611.7773647,26012032,30424618,8192,8000.0
1768152611.7777052,26020224,30424618,8192,8000.0
1768152611.7790565,26028416,30424618,8192,5971.932116899202
1768152611.7791045,26036608,30424618,8192,8000.0
1768152611.7810018,26044800,30424618,8192,4236.390721493904
1768152611.7810445,26052992,30424618,8192,8000.0
1768152611.78108,26061184,30424618,8192,8000.0
1768152611.7811165,26069376,30424618,8192,8000.0
1768152611.783638,26077568,30424618,8192,3183.8259638536633
1768152611.7838976,26085760,30424618,8192,8000.0
1768152611.784081,26093952,30424618,8192,8000.0
1768152611.784259,26102144,30424618,8192,8000.0
1768152611.7856994,26110336,30424618,8192,5592.449934577929
1768152611.785745,26118528,30424618,8192,8000.0
1768152611.7857807,26126720,30424618,8192,8000.0
1768152611.7858174,26134912,30424618,8192,8000.0
1768152611.788821,26143104,30424618,8192,2672.7248659271345
1768152611.7888682,26151296,30424618,8192,8000.0
1768152611.7889042,26159488,30424618,8192,8000.0
1768152611.7889397,26167680,30424618,8192,8000.0
1768152611.7896159,26175872,30424618,8192,8000.0
1768152611.7896607,26184064,30424618,8192,8000.0
1768152611.7947164,26192256,30424618,8192,1585.822709394114
1768152611.794765,26200448,30424618,8192,8000.0
1768152611.7948015,26208640,30424618,8192,8000.0
1768152611.7950253,26216832,30424618,8192,8000.0
1768152611.796837,26225024,30424618,8192,4441.730396546386
1768152611.7968853,26233216,30424618,8192,8000.0
1768152611.7969205,26241408,30424618,8192,8000.0
1768152611.7969596,26249600,30424618,8192,8000.0
1768152611.7985463,26257792,30424618,8192,5067.460471811299
1768152611.7985857,26265984,30424618,8192,8000.0
1768152611.7986174,26274176,30424618,8192,8000.0
1768152611.7988284,26282368,30424618,8192,8000.0
1768152611.8008852,26290560,30424618,8192,3906.6315197526296
1768152611.8009284,26298752,30424618,8192,8000.0
1768152611.8009615,26306944,30424618,8192,8000.0
1768152611.8009973,26315136,30424618,8192,8000.0
